particle_id,frame_num,particle_num,time_stamp_s,ecd_um,area_pixels,perimeter,circularity,intensity_mean,intensity_std,intensity_min,intensity_max,max_feret_diam_um,aspect_ratio,x_left,x_right,y_top,y_bottom,edge_particle,experiment,step,type
351544,185,16,20.092,14.375,194,91.77,0.54,736.26,81.86,462,831,33.625,0.4,866,890,512,536,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
351705,188,37,20.419,11.125,138,76.43,0.54,724.84,84.54,506,831,27.625,0.28,428,450,834,853,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
351792,190,32,20.638,13.875,183,60.7,0.79,498.48,233.36,105,830,19.625,0.56,861,880,651,666,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
351895,192,21,20.856,25.125,440,111.25,0.67,412.02,276.4,20,831,44.875,0.37,1088,1127,484,503,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
351896,192,22,20.856,12.875,166,66.6,0.69,693.81,94.09,471,831,27.625,0.33,75,91,513,535,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
352007,194,12,21.075,26.625,479,101.67,0.76,402.51,236.81,92,830,43.375,0.39,1190,1228,275,295,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
352406,201,29,21.839,23.625,397,120.01,0.59,496.85,214.02,84,831,59.625,0.19,1149,1199,537,550,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
352480,202,34,21.948,12.125,155,78.36,0.56,758.97,49.94,646,829,18.625,0.68,521,539,751,767,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
352488,202,42,21.948,11.875,151,55.63,0.78,547.79,219.32,96,827,18.125,0.51,714,725,870,888,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
352550,203,50,22.057,20.375,317,163.17,0.39,749.32,86.34,457,834,43.375,0.48,266,288,690,725,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
352554,203,54,22.057,19.375,294,78.43,0.78,409.62,242.28,51,831,28.375,0.48,217,239,747,769,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
352558,203,58,22.057,31.625,635,186.1,0.48,556.71,231.52,50,831,59.375,0.44,1046,1096,776,799,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
352581,203,81,22.057,16.375,232,70.7,0.76,439.42,255.71,71,830,28.125,0.38,454,467,936,962,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
352730,206,6,22.385,12.125,153,83.6,0.52,687.22,150.65,288,831,19.375,0.76,1214,1231,54,73,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
352734,206,10,22.385,10.625,129,60.04,0.67,725.07,89.25,514,831,25.625,0.31,164,188,108,117,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
352739,206,15,22.385,11.875,149,54.97,0.79,526.56,206.91,155,831,19.375,0.4,515,535,221,229,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
352832,207,44,22.494,11.125,137,57.04,0.73,597.58,180.97,243,831,21.125,0.38,1046,1066,869,880,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
352843,207,55,22.494,10.375,127,61.87,0.65,753.83,74.15,506,831,21.125,0.38,269,287,948,963,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
352935,209,21,22.713,18.125,267,83.11,0.7,441.55,233.13,109,831,35.375,0.31,296,328,535,546,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
352937,209,23,22.713,12.125,153,55.46,0.79,586.3,151.05,244,830,18.625,0.47,644,658,595,612,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
352940,209,26,22.713,10.375,126,71.36,0.56,747.46,63.47,529,831,25.625,0.31,1104,1128,722,734,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
353000,210,25,22.822,11.375,140,64.94,0.65,700.52,99.91,451,831,25.375,0.28,1134,1150,489,510,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
353080,211,36,22.931,16.125,223,126.05,0.42,764.39,51.14,617,831,55.375,0.15,404,450,862,878,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
353088,211,44,22.931,18.125,267,131.47,0.44,700.63,108.93,432,831,51.625,0.23,1220,1262,926,947,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
353171,213,22,23.149,10.375,127,58.87,0.68,687.09,108.06,398,830,22.125,0.3,251,262,497,517,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
